institution,number,family,genus,species,cranium.length,rostrum.length,rostrum.width,rostrum.depth,coracoid,sternum.length,keel.length,keel.depth,humerus,ulna,carpometacarpus,femur,tibiotarsus,tarsometatarsus,island,landbird.spp.richness,island.area,elevation,nearest.continent,isolation,ecosystem.richness,raptor.spp,columbid.spp,kingfisher.spp,mammal.predators,location.1,location.2,location.3,collector,age,mass,wing.ch.,tail,subspecies,sex,other
NMNH,622993,Alcedinidae,Halcyon,Halcyon_badia,NA,NA,NA,NA,24.01,18.26,24.32,9.3,29.9,38.4,16.14,17.84,27.77,11.97,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Gabon,Ogooue Maritime Prov.,Rabi Oil Field,B.K. Schmidt,adult,48.3,NA,NA,NA,female,NA
AMNH,16907,Alcedinidae,Halcyon,Halcyon_badia,26.47,NA,NA,NA,23.24,19.29,24.35,8.95,29.98,38.77,15.78,18.37,28.23,12.41,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Liberia,Grand Gedeh Co.,Jdoui,R.W. Dickerman,NA,51,NA,NA,NA,male,NA
NMNH,488350,Alcedinidae,Halcyon,Halcyon_coromanda,27.33,48.71,16.43,9.24,27.15,20.06,26.09,10.19,35.67,44.15,18.86,23.35,35.58,16.49,Sibutu,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Indonesia,Sumatra,Mentawei Islands: Sibutu Island; N of Siporo,F.B. Gill,NA,30,NA,NA,NA,NA,NA
NMNH,225826,Alcedinidae,Halcyon,Halcyon_coromanda,NA,NA,NA,NA,29.47,22.51,29.59,10.73,NA,NA,NA,24.72,NA,NA,Sulawesi,384,180681,3455,1100,56,NA,39,25,12,yes,Indonesia,Celebes,Laboea Sore,H.C. Raven,NA,NA,NA,NA,rufa,female,NA
NMNH,607350,Alcedinidae,Halcyon,Halcyon_coromanda,NA,NA,NA,NA,30.25,23.94,30.57,10.79,41.93,NA,NA,25.31,NA,NA,Camiguin_Norte,NA,NA,712,NA,NA,NA,NA,NA,NA,yes,Philippines,Camiguin: Cagayan,Mambit,R.W. Dickerman,NA,96,NA,NA,major,female,NA
NMNH,613067,Alcedinidae,Halcyon,Halcyon_coromanda,31.18,51.51,15.71,10.65,30.11,25.44,33.42,12.17,42.03,53.61,22.16,25.77,39.66,17.57,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon: Cagayan,"Barrio Santa Margarita, Bagao",R.W. Dickerman,NA,92,NA,NA,major,male,NA
NMNH,562027,Alcedinidae,Halcyon,Halcyon_coromanda,27.93,45.4,16.88,10.78,27.06,20.82,25.98,9.35,34.71,44.49,17.73,22.41,35.2,15.35,Palawan,227,12189,2085,950,55,NA,19,13,7,yes,Philippines,Palawan,Quezon; Tumarbong River,C.A. Ross,NA,66,NA,NA,minor,male,NA
NMNH,560894,Alcedinidae,Halcyon,Halcyon_coromanda,26.41,46.91,15.48,10.14,25.92,NA,NA,9.3,33.88,42.81,17.23,22.45,33.58,15.06,Palawan,227,12189,2085,950,55,NA,19,13,7,yes,Philippines,Palawan,Roxas; Tinitian,"B. Gargar, A.C. Alcala",NA,NA,NA,NA,minor,male,NA
NMNH,611829,Alcedinidae,Halcyon,Halcyon_coromanda,NA,NA,NA,NA,29.29,25.09,31.89,11.41,NA,NA,NA,24.49,NA,NA,Lanyu_Island,NA,45,NA,NA,NA,NA,NA,NA,NA,yes,Taiwan,Lanyu Island (Orchid Island),Chung-Ai Bridge,C.A. Ross,NA,88,NA,NA,NA,female,NA
NMNH,611827,Alcedinidae,Halcyon,Halcyon_coromanda,NA,NA,NA,NA,30.41,24.95,30.83,11.66,NA,NA,NA,26.07,NA,NA,Lanyu_Island,NA,45,NA,NA,NA,NA,NA,NA,NA,yes,Taiwan,Lanyu Island (Orchid Island),Chung-Ai Bridge,C.A. Ross,NA,120,NA,NA,NA,female,NA
